time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.112064	2	1	3	6030	0.0120643
0.212064	2	1	3	6030	0.0120643
0.312064	2	1	3	6030	0.0120643
0.412064	2	1	3	6030	0.0120643
0.512064	2	1	3	6030	0.0120643
0.612064	2	1	3	6030	0.0120643
0.712064	2	1	3	6030	0.0120643
0.812064	2	1	3	6030	0.0120643
0.912064	2	1	3	6030	0.0120643
1.01206	2	1	3	6030	0.0120643
1.11206	2	1	3	6030	0.0120643
1.21206	2	1	3	6030	0.0120643
1.31206	2	1	3	6030	0.0120643
1.41206	2	1	3	6030	0.0120643
1.51206	2	1	3	6030	0.0120643
1.61206	2	1	3	6030	0.0120643
1.71206	2	1	3	6030	0.0120643
1.81206	2	1	3	6030	0.0120643
1.91206	2	1	3	6030	0.0120643
2.01206	2	1	3	6030	0.0120643
2.11206	2	1	3	6030	0.0120643
2.21206	2	1	3	6030	0.0120643
2.31206	2	1	3	6030	0.0120643
2.41206	2	1	3	6030	0.0120643
2.51206	2	1	3	6030	0.0120643
2.61206	2	1	3	6030	0.0120643
2.71206	2	1	3	6030	0.0120643
2.81206	2	1	3	6030	0.0120643
2.91206	2	1	3	6030	0.0120643
3.01206	2	1	3	6030	0.0120643
3.11206	2	1	3	6030	0.0120643
3.21206	2	1	3	6030	0.0120643
3.31206	2	1	3	6030	0.0120643
3.41206	2	1	3	6030	0.0120643
3.51206	2	1	3	6030	0.0120643
3.61206	2	1	3	6030	0.0120643
3.71206	2	1	3	6030	0.0120643
3.81206	2	1	3	6030	0.0120643
3.91206	2	1	3	6030	0.0120643
4.01206	2	1	3	6030	0.0120643
4.11206	2	1	3	6030	0.0120643
4.21206	2	1	3	6030	0.0120643
4.31206	2	1	3	6030	0.0120643
4.41206	2	1	3	6030	0.0120643
4.51206	2	1	3	6030	0.0120643
4.61206	2	1	3	6030	0.0120643
4.71206	2	1	3	6030	0.0120643
4.81206	2	1	3	6030	0.0120643
4.91206	2	1	3	6030	0.0120643
5.01206	2	1	3	6030	0.0120643
5.11206	2	1	3	6030	0.0120643
5.21206	2	1	3	6030	0.0120643
5.31206	2	1	3	6030	0.0120643
5.41206	2	1	3	6030	0.0120643
5.51206	2	1	3	6030	0.0120643
5.61206	2	1	3	6030	0.0120643
5.71206	2	1	3	6030	0.0120643
5.81206	2	1	3	6030	0.0120643
5.91206	2	1	3	6030	0.0120643
6.01206	2	1	3	6030	0.0120643
6.11206	2	1	3	6030	0.0120643
6.21206	2	1	3	6030	0.0120643
6.31206	2	1	3	6030	0.0120643
6.41206	2	1	3	6030	0.0120643
6.51206	2	1	3	6030	0.0120643
6.61206	2	1	3	6030	0.0120643
6.71206	2	1	3	6030	0.0120643
6.81206	2	1	3	6030	0.0120643
6.91206	2	1	3	6030	0.0120643
7.01206	2	1	3	6030	0.0120643
7.11206	2	1	3	6030	0.0120643
7.21206	2	1	3	6030	0.0120643
7.31206	2	1	3	6030	0.0120643
7.41206	2	1	3	6030	0.0120643
7.51206	2	1	3	6030	0.0120643
7.61206	2	1	3	6030	0.0120643
7.71206	2	1	3	6030	0.0120643
7.81206	2	1	3	6030	0.0120643
7.91206	2	1	3	6030	0.0120643
8.01206	2	1	3	6030	0.0120643
8.11206	2	1	3	6030	0.0120643
8.21206	2	1	3	6030	0.0120643
8.31206	2	1	3	6030	0.0120643
8.41206	2	1	3	6030	0.0120643
8.51206	2	1	3	6030	0.0120643
8.61206	2	1	3	6030	0.0120643
8.71206	2	1	3	6030	0.0120643
8.81206	2	1	3	6030	0.0120643
8.91206	2	1	3	6030	0.0120643
9.01206	2	1	3	6030	0.0120643
9.11206	2	1	3	6030	0.0120643
9.21206	2	1	3	6030	0.0120643
9.31206	2	1	3	6030	0.0120643
9.41206	2	1	3	6030	0.0120643
9.51206	2	1	3	6030	0.0120643
9.61206	2	1	3	6030	0.0120643
9.71206	2	1	3	6030	0.0120643
9.81206	2	1	3	6030	0.0120643
9.91206	2	1	3	6030	0.0120643
10.0121	2	1	3	6030	0.0120643
10.1121	2	1	3	6030	0.0120643
10.2121	2	1	3	6030	0.0120643
10.3121	2	1	3	6030	0.0120643
10.4121	2	1	3	6030	0.0120643
10.5121	2	1	3	6030	0.0120643
10.6121	2	1	3	6030	0.0120643
10.7121	2	1	3	6030	0.0120643
10.8121	2	1	3	6030	0.0120643
10.9121	2	1	3	6030	0.0120643
11.0121	2	1	3	6030	0.0120643
11.1121	2	1	3	6030	0.0120643
11.2121	2	1	3	6030	0.0120643
11.3121	2	1	3	6030	0.0120643
11.4121	2	1	3	6030	0.0120643
11.5121	2	1	3	6030	0.0120643
11.6121	2	1	3	6030	0.0120643
11.7121	2	1	3	6030	0.0120643
11.8121	2	1	3	6030	0.0120643
11.9121	2	1	3	6030	0.0120643
12.0121	2	1	3	6030	0.0120643
12.1121	2	1	3	6030	0.0120643
12.2121	2	1	3	6030	0.0120643
12.3121	2	1	3	6030	0.0120643
12.4121	2	1	3	6030	0.0120643
12.5121	2	1	3	6030	0.0120643
12.6121	2	1	3	6030	0.0120643
12.7121	2	1	3	6030	0.0120643
12.8121	2	1	3	6030	0.0120643
12.9121	2	1	3	6030	0.0120643
13.0121	2	1	3	6030	0.0120643
13.1121	2	1	3	6030	0.0120643
13.2121	2	1	3	6030	0.0120643
13.3121	2	1	3	6030	0.0120643
13.4121	2	1	3	6030	0.0120643
13.5121	2	1	3	6030	0.0120643
13.6121	2	1	3	6030	0.0120643
13.7121	2	1	3	6030	0.0120643
13.8121	2	1	3	6030	0.0120643
13.9121	2	1	3	6030	0.0120643
14.0121	2	1	3	6030	0.0120643
14.1121	2	1	3	6030	0.0120643
14.2121	2	1	3	6030	0.0120643
14.3121	2	1	3	6030	0.0120643
14.4121	2	1	3	6030	0.0120643
14.5121	2	1	3	6030	0.0120643
14.6121	2	1	3	6030	0.0120643
14.7121	2	1	3	6030	0.0120643
14.8121	2	1	3	6030	0.0120643
14.9121	2	1	3	6030	0.0120643
15.0121	2	1	3	6030	0.0120643
15.1121	2	1	3	6030	0.0120643
15.2121	2	1	3	6030	0.0120643
15.3121	2	1	3	6030	0.0120643
15.4121	2	1	3	6030	0.0120643
15.5121	2	1	3	6030	0.0120643
15.6121	2	1	3	6030	0.0120643
15.7121	2	1	3	6030	0.0120643
15.8121	2	1	3	6030	0.0120643
15.9121	2	1	3	6030	0.0120643
16.0121	2	1	3	6030	0.0120643
16.1121	2	1	3	6030	0.0120643
16.2121	2	1	3	6030	0.0120643
16.3121	2	1	3	6030	0.0120643
16.4121	2	1	3	6030	0.0120643
16.5121	2	1	3	6030	0.0120643
16.6121	2	1	3	6030	0.0120643
16.7121	2	1	3	6030	0.0120643
16.8121	2	1	3	6030	0.0120643
16.9121	2	1	3	6030	0.0120643
17.0121	2	1	3	6030	0.0120643
17.1121	2	1	3	6030	0.0120643
17.2121	2	1	3	6030	0.0120643
17.3121	2	1	3	6030	0.0120643
17.4121	2	1	3	6030	0.0120643
17.5121	2	1	3	6030	0.0120643
17.6121	2	1	3	6030	0.0120643
17.7121	2	1	3	6030	0.0120643
17.8121	2	1	3	6030	0.0120643
17.9121	2	1	3	6030	0.0120643
18.0121	2	1	3	6030	0.0120643
18.1121	2	1	3	6030	0.0120643
18.2121	2	1	3	6030	0.0120643
18.3121	2	1	3	6030	0.0120643
18.4121	2	1	3	6030	0.0120643
18.5121	2	1	3	6030	0.0120643
18.6121	2	1	3	6030	0.0120643
18.7121	2	1	3	6030	0.0120643
18.8121	2	1	3	6030	0.0120643
18.9121	2	1	3	6030	0.0120643
19.0121	2	1	3	6030	0.0120643
19.1121	2	1	3	6030	0.0120643
19.2121	2	1	3	6030	0.0120643
19.3121	2	1	3	6030	0.0120643
19.4121	2	1	3	6030	0.0120643
19.5121	2	1	3	6030	0.0120643
19.6121	2	1	3	6030	0.0120643
19.7121	2	1	3	6030	0.0120643
19.8121	2	1	3	6030	0.0120643
19.9121	2	1	3	6030	0.0120643
20.0121	2	1	3	6030	0.0120643
20.1121	2	1	3	6030	0.0120643
20.2121	2	1	3	6030	0.0120643
20.3121	2	1	3	6030	0.0120643
20.4121	2	1	3	6030	0.0120643
20.5121	2	1	3	6030	0.0120643
20.6121	2	1	3	6030	0.0120643
20.7121	2	1	3	6030	0.0120643
20.8121	2	1	3	6030	0.0120643
20.9121	2	1	3	6030	0.0120643
21.0121	2	1	3	6030	0.0120643
21.1121	2	1	3	6030	0.0120643
21.2121	2	1	3	6030	0.0120643
21.3121	2	1	3	6030	0.0120643
21.4121	2	1	3	6030	0.0120643
21.5121	2	1	3	6030	0.0120643
21.6121	2	1	3	6030	0.0120643
21.7121	2	1	3	6030	0.0120643
21.8121	2	1	3	6030	0.0120643
21.9121	2	1	3	6030	0.0120643
22.0121	2	1	3	6030	0.0120643
22.1121	2	1	3	6030	0.0120643
22.2121	2	1	3	6030	0.0120643
22.3121	2	1	3	6030	0.0120643
22.4121	2	1	3	6030	0.0120643
22.5121	2	1	3	6030	0.0120643
22.6121	2	1	3	6030	0.0120643
22.7121	2	1	3	6030	0.0120643
22.8121	2	1	3	6030	0.0120643
22.9121	2	1	3	6030	0.0120643
23.0121	2	1	3	6030	0.0120643
23.1121	2	1	3	6030	0.0120643
23.2121	2	1	3	6030	0.0120643
23.3121	2	1	3	6030	0.0120643
23.4121	2	1	3	6030	0.0120643
23.5121	2	1	3	6030	0.0120643
23.6121	2	1	3	6030	0.0120643
23.7121	2	1	3	6030	0.0120643
23.8121	2	1	3	6030	0.0120643
23.9121	2	1	3	6030	0.0120643
24.0121	2	1	3	6030	0.0120643
24.1121	2	1	3	6030	0.0120643
24.2121	2	1	3	6030	0.0120643
24.3121	2	1	3	6030	0.0120643
24.4121	2	1	3	6030	0.0120643
24.5121	2	1	3	6030	0.0120643
24.6121	2	1	3	6030	0.0120643
24.7121	2	1	3	6030	0.0120643
24.8121	2	1	3	6030	0.0120643
24.9121	2	1	3	6030	0.0120643
25.0121	2	1	3	6030	0.0120643
25.1121	2	1	3	6030	0.0120643
25.2121	2	1	3	6030	0.0120643
25.3121	2	1	3	6030	0.0120643
25.4121	2	1	3	6030	0.0120643
25.5121	2	1	3	6030	0.0120643
25.6121	2	1	3	6030	0.0120643
25.7121	2	1	3	6030	0.0120643
25.8121	2	1	3	6030	0.0120643
25.9121	2	1	3	6030	0.0120643
26.0121	2	1	3	6030	0.0120643
26.1121	2	1	3	6030	0.0120643
26.2121	2	1	3	6030	0.0120643
26.3121	2	1	3	6030	0.0120643
26.4121	2	1	3	6030	0.0120643
26.5121	2	1	3	6030	0.0120643
26.6121	2	1	3	6030	0.0120643
26.7121	2	1	3	6030	0.0120643
26.8121	2	1	3	6030	0.0120643
26.9121	2	1	3	6030	0.0120643
27.0121	2	1	3	6030	0.0120643
27.1121	2	1	3	6030	0.0120643
27.2121	2	1	3	6030	0.0120643
27.3121	2	1	3	6030	0.0120643
27.4121	2	1	3	6030	0.0120643
27.5121	2	1	3	6030	0.0120643
27.6121	2	1	3	6030	0.0120643
27.7121	2	1	3	6030	0.0120643
27.8121	2	1	3	6030	0.0120643
27.9121	2	1	3	6030	0.0120643
28.0121	2	1	3	6030	0.0120643
28.1121	2	1	3	6030	0.0120643
28.2121	2	1	3	6030	0.0120643
28.3121	2	1	3	6030	0.0120643
28.4121	2	1	3	6030	0.0120643
28.5121	2	1	3	6030	0.0120643
28.6121	2	1	3	6030	0.0120643
28.7121	2	1	3	6030	0.0120643
28.8121	2	1	3	6030	0.0120643
28.9121	2	1	3	6030	0.0120643
29.0121	2	1	3	6030	0.0120643
29.1121	2	1	3	6030	0.0120643
29.2121	2	1	3	6030	0.0120643
29.3121	2	1	3	6030	0.0120643
29.4121	2	1	3	6030	0.0120643
29.5121	2	1	3	6030	0.0120643
29.6121	2	1	3	6030	0.0120643
29.7121	2	1	3	6030	0.0120643
29.8121	2	1	3	6030	0.0120643
29.9121	2	1	3	6030	0.0120643
30.0121	2	1	3	6030	0.0120643
30.1121	2	1	3	6030	0.0120643
30.2121	2	1	3	6030	0.0120643
30.3121	2	1	3	6030	0.0120643
30.4121	2	1	3	6030	0.0120643
30.5121	2	1	3	6030	0.0120643
30.6121	2	1	3	6030	0.0120643
30.7121	2	1	3	6030	0.0120643
30.8121	2	1	3	6030	0.0120643
30.9121	2	1	3	6030	0.0120643
31.0121	2	1	3	6030	0.0120643
31.1121	2	1	3	6030	0.0120643
31.2121	2	1	3	6030	0.0120643
