Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0169643	1	0	1	-69.8399
0.0524286	1	0	1	-69.8399
0.101464	1	0	1	-69.8399
0.102429	1	0	1	-69.8399
0.106357	1	0	1	-69.8399
0.111	1	0	1	-69.8399
0.11175	1	0	1	-69.8399
0.152429	1	0	1	-69.8399
0.201464	1	0	1	-69.8399
0.202429	1	0	1	-69.8399
0.206429	1	0	1	-69.8399
0.211	1	0	1	-69.8399
0.21175	1	0	1	-69.8399
0.252429	1	0	1	-69.8399
0.301464	1	0	1	-69.8399
0.302429	1	0	1	-69.8399
0.306429	1	0	1	-69.8399
0.311	1	0	1	-69.8399
0.31175	1	0	1	-69.8399
0.352429	1	0	1	-69.8399
0.401464	1	0	1	-69.8399
0.402429	1	0	1	-69.8399
0.406429	1	0	1	-69.8399
0.411	1	0	1	-69.8399
0.41175	1	0	1	-69.8399
0.452429	1	0	1	-69.8399
0.501464	1	0	1	-69.8399
0.502429	1	0	1	-69.8399
0.506429	1	0	1	-69.8399
0.511	1	0	1	-69.8399
0.51175	1	0	1	-69.8399
0.552429	1	0	1	-69.8399
0.601464	1	0	1	-69.8399
0.602429	1	0	1	-69.8399
0.606429	1	0	1	-69.8399
0.611	1	0	1	-69.8399
0.61175	1	0	1	-69.8399
0.652429	1	0	1	-69.8399
0.701464	1	0	1	-69.8399
0.702429	1	0	1	-69.8399
0.706429	1	0	1	-69.8399
0.711	1	0	1	-69.8399
0.71175	1	0	1	-69.8399
0.752429	1	0	1	-69.8399
0.801464	1	0	1	-69.8399
0.802429	1	0	1	-69.8399
0.806429	1	0	1	-69.8399
0.811	1	0	1	-69.8399
0.81175	1	0	1	-69.8399
0.852429	1	0	1	-69.8399
0.901464	1	0	1	-69.8399
0.902429	1	0	1	-69.8399
0.906429	1	0	1	-69.8399
0.911	1	0	1	-69.8399
0.91175	1	0	1	-69.8399
0.952429	1	0	1	-69.8399
1.00146	1	0	1	-69.8399
1.00243	1	0	1	-69.8399
1.00643	1	0	1	-69.8399
1.011	1	0	1	-69.8399
1.01175	1	0	1	-69.8399
1.05243	1	0	1	-69.8399
1.10146	1	0	1	-69.8399
1.10243	1	0	1	-69.8399
1.10643	1	0	1	-69.8399
1.111	1	0	1	-69.8399
1.11175	1	0	1	-69.8399
1.15243	1	0	1	-69.8399
1.20146	1	0	1	-69.8399
1.20243	1	0	1	-69.8399
1.20643	1	0	1	-69.8399
1.211	1	0	1	-69.8399
1.21175	1	0	1	-69.8399
1.25243	1	0	1	-69.8399
1.30146	1	0	1	-69.8399
1.30243	1	0	1	-69.8399
1.30643	1	0	1	-69.8399
1.311	1	0	1	-69.8399
1.31175	1	0	1	-69.8399
1.35243	1	0	1	-69.8399
1.40146	1	0	1	-69.8399
1.40243	1	0	1	-69.8399
1.40643	1	0	1	-69.8399
1.411	1	0	1	-69.8399
1.41175	1	0	1	-69.8399
1.45243	1	0	1	-69.8399
1.50146	1	0	1	-69.8399
1.50243	1	0	1	-69.8399
1.50643	1	0	1	-69.8399
1.511	1	0	1	-69.8399
1.51175	1	0	1	-69.8399
1.55243	1	0	1	-69.8399
1.60146	1	0	1	-69.8399
1.60243	1	0	1	-69.8399
1.60643	1	0	1	-69.8399
1.611	1	0	1	-69.8399
1.61175	1	0	1	-69.8399
1.65243	1	0	1	-69.8399
1.70146	1	0	1	-69.8399
1.70243	1	0	1	-69.8399
1.70643	1	0	1	-69.8399
1.711	1	0	1	-69.8399
1.71175	1	0	1	-69.8399
1.75243	1	0	1	-69.8399
1.80146	1	0	1	-69.8399
1.80243	1	0	1	-69.8399
1.80643	1	0	1	-69.8399
1.811	1	0	1	-69.8399
1.81175	1	0	1	-69.8399
1.85243	1	0	1	-69.8399
1.90146	1	0	1	-69.8399
1.90243	1	0	1	-69.8399
1.90643	1	0	1	-69.8399
1.911	1	0	1	-69.8399
1.91175	1	0	1	-69.8399
1.95243	1	0	1	-69.8399
2.00146	1	0	1	-69.8399
2.00243	1	0	1	-69.8399
2.00643	1	0	1	-69.8399
2.011	1	0	1	-69.8399
2.01175	1	0	1	-69.8399
2.05243	1	0	1	-69.8399
2.10146	1	0	1	-69.8399
2.10243	1	0	1	-69.8399
2.10643	1	0	1	-69.8399
2.111	1	0	1	-69.8399
2.11175	1	0	1	-69.8399
2.15243	1	0	1	-69.8399
2.20146	1	0	1	-69.8399
2.20243	1	0	1	-69.8399
2.20643	1	0	1	-69.8399
2.211	1	0	1	-69.8399
2.21175	1	0	1	-69.8399
2.25243	1	0	1	-69.8399
2.30146	1	0	1	-69.8399
2.30243	1	0	1	-69.8399
2.30643	1	0	1	-69.8399
2.311	1	0	1	-69.8399
2.31175	1	0	1	-69.8399
2.35243	1	0	1	-69.8399
2.40146	1	0	1	-69.8399
2.40243	1	0	1	-69.8399
2.40643	1	0	1	-69.8399
2.411	1	0	1	-69.8399
2.41175	1	0	1	-69.8399
2.45243	1	0	1	-69.8399
2.50146	1	0	1	-69.8399
2.50243	1	0	1	-69.8399
2.50643	1	0	1	-69.8399
2.511	1	0	1	-69.8399
2.51175	1	0	1	-69.8399
2.55243	1	0	1	-69.8399
2.60146	1	0	1	-69.8399
2.60243	1	0	1	-69.8399
2.60643	1	0	1	-69.8399
2.611	1	0	1	-69.8399
2.61175	1	0	1	-69.8399
2.65243	1	0	1	-69.8399
2.70146	1	0	1	-69.8399
2.70243	1	0	1	-69.8399
2.70643	1	0	1	-69.8399
